Campaign Number,Start Date,TOTAL_CALLS,ABANDONED_CALLS,HANDLED_CALLS,COUNT_OF_REPS
237322,2021-01-01,1,0,1,1
237322,2021-01-02,1,0,1,1
237322,2021-01-04,1066,30,1034,14
237322,2021-01-05,875,13,855,14
237322,2021-01-06,1091,12,1078,15
237322,2021-01-07,1130,22,1103,14
237322,2021-01-08,1099,13,1083,14
237322,2021-01-09,4,0,4,1
237322,2021-01-11,1336,43,1290,14
237322,2021-01-12,1212,17,1192,14
237322,2021-01-13,1533,18,1504,15
237322,2021-01-14,1200,33,1162,15
237322,2021-01-15,1276,26,1248,15
237322,2021-01-16,93,0,93,2
237322,2021-01-18,959,1,955,9
237322,2021-01-19,1014,46,961,15
237322,2021-01-20,1405,33,1366,15
237322,2021-01-21,1316,30,1283,15
237322,2021-01-22,1105,16,1084,14
237322,2021-01-23,1,0,1,1
237322,2021-01-25,1557,71,1480,15
237322,2021-01-26,1380,30,1345,15
237322,2021-01-27,1520,19,1497,15
237322,2021-01-28,1195,14,1180,15
237322,2021-01-29,1443,13,1420,14
237322,2021-01-30,1,0,1,1
237322,2021-02-01,1342,56,1275,14
237322,2021-02-02,1468,35,1429,15
237322,2021-02-03,1527,20,1501,16
237322,2021-02-04,1367,11,1349,16
237322,2021-02-05,1573,26,1538,15
237322,2021-02-08,1515,33,1476,15
237322,2021-02-09,1366,16,1345,14
237322,2021-02-10,1128,14,1112,12
237322,2021-02-11,985,19,961,9
237322,2021-02-12,1136,14,1120,12
237322,2021-02-13,1,0,1,1
237322,2021-02-15,601,25,574,10
237322,2021-02-16,784,19,763,11
237322,2021-02-17,692,15,676,10
237322,2021-02-18,887,22,863,10
237322,2021-02-19,1044,15,1028,11
237322,2021-02-22,1346,28,1307,13
237322,2021-02-23,1272,15,1254,13
237322,2021-02-24,1202,21,1178,12
237322,2021-02-25,1257,22,1230,12
237322,2021-02-26,1200,25,1172,12
237322,2021-02-27,1,0,1,1
237322,2021-02-28,3,0,3,1
237322,2021-03-01,1164,19,1142,10
237322,2021-03-02,1018,18,999,11
237322,2021-03-03,1016,24,987,11
237322,2021-03-04,901,23,878,12
237322,2021-03-05,1136,6,1130,13
237322,2021-03-08,1291,38,1251,12
237322,2021-03-09,1198,22,1173,12
237322,2021-03-10,1331,7,1321,13
237322,2021-03-11,1190,13,1174,13
237322,2021-03-12,1316,20,1292,12
237322,2021-03-14,1,0,1,1
237322,2021-03-15,1364,26,1335,14
237322,2021-03-16,1176,18,1156,13
237322,2021-03-17,1347,18,1325,13
237322,2021-03-18,1288,24,1261,12
237322,2021-03-19,1237,13,1222,11
237322,2021-03-20,1,0,1,1
237322,2021-03-22,1368,27,1336,12
237322,2021-03-23,1364,15,1343,13
237322,2021-03-24,1257,42,1212,12
237322,2021-03-25,1424,25,1394,12
237322,2021-03-26,1491,23,1458,12
237322,2021-03-29,1568,31,1533,15
237322,2021-03-30,1533,32,1496,15
237322,2021-03-31,1574,59,1509,14
237322,2021-04-01,1377,29,1343,13
237322,2021-04-02,1367,49,1316,13
237322,2021-04-03,4,2,2,1
237322,2021-04-04,2,0,2,1
237322,2021-04-05,1382,39,1333,12
237322,2021-04-06,1320,32,1287,14
237322,2021-04-07,1301,19,1274,12
237322,2021-04-08,1103,27,1071,12
237322,2021-04-09,1269,13,1251,12
237322,2021-04-12,1531,36,1492,13
237322,2021-04-13,1092,15,1073,12
237322,2021-04-14,1130,22,1100,12
237322,2021-04-15,1021,21,994,12
237322,2021-04-16,1112,11,1096,11
237322,2021-04-17,1,0,1,1
237322,2021-04-19,1341,42,1296,13
237322,2021-04-20,1266,17,1241,13
237322,2021-04-21,1362,31,1330,13
237322,2021-04-22,1363,18,1343,13
237322,2021-04-23,1516,21,1487,12
237322,2021-04-24,3,0,3,1
237322,2021-04-26,1648,58,1583,14
237322,2021-04-27,1464,19,1437,13
237322,2021-04-28,1590,44,1536,15
237322,2021-04-29,1624,29,1592,15
